"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Nov 29 18:56:12 GMT 2024","Fri Nov 29 18:56:12 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"failed","Fri Nov 29 18:56:12 GMT 2024","Fri Nov 29 18:56:12 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","cleanUpServerAuthSettings","cleanUpServerAuthSettings",""
"skipped","Fri Nov 29 18:56:12 GMT 2024","Fri Nov 29 18:56:12 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"skipped","Fri Nov 29 18:56:12 GMT 2024","Fri Nov 29 18:56:12 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"skipped","Fri Nov 29 18:56:12 GMT 2024","Fri Nov 29 18:56:12 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"failed","Fri Nov 29 18:56:12 GMT 2024","Fri Nov 29 18:56:12 GMT 2024","4","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","setUpServerAuthSettings","setUpServerAuthSettings",""
"failed","Fri Nov 29 18:56:05 GMT 2024","Fri Nov 29 18:56:05 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","cleanUpServerAuthSettings","cleanUpServerAuthSettings",""
"failed","Fri Nov 29 18:56:04 GMT 2024","Fri Nov 29 18:56:04 GMT 2024","4","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupUiTest","setupUiTest",""
"skipped","Fri Nov 29 18:56:04 GMT 2024","Fri Nov 29 18:56:04 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
